"Term","Term Two","Definition","Closest MeSH term","Synonym 1","Synonym 2","Synonym 3","Abbreviation","UK Spelling","US Spelling","Noun Form of Word","Verb Form of Word","Adjective Form of Word","Adverb Form of Word","Commonly Associated Term 1","Commonly Associated Term 2","Commonly Associated Term 3","Commonly Associated Term 4","Commonly Associated Term 5","Commonly Associated Term 6","Commonly Associated Term 7","Commonly Associated Term 8","source","source_priority","sources_contributing","date_added"
"Extreme capsule","","Thin band of fibers separating the claustrum from the insular cortex","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Lenticular fasciculus","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Mammillothalamic tract","","A fiber pathway that originates from neurons in the posterior hypothalamic region and projects to various nuclei of the anterior nuclear group of the thalamus. It is a composite structure that consists of the mammillothalamic tract of the hypothalamus and the mammillothalamic tract of the thalamus (Carpenter-1983). (from Brain Info.org)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Spinothalamic tract","","A tract that originates from neurons in the spinal central gray and projects to various somatosensory nuclei of the thalamus. It is formed in the medulla by merger of the anterior spinothalamic tract and lateral spinothalamic tract (adapted from Braininfo.org)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Central cervical spinocerebellar tract","","Central cervical spinocerebellar tract","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Rostral spinocerebellar tract","","Originates from cells rostral to Clarke's column and sends uncrossed axons through the lateral funiculus to the cerebellum. It reaches the cerebellum partly through the brachium conjunctivum and partly through the restiform body, terminating bilaterally in the anterior lobe of the cerebellum","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Cerebellar Serotonergic Afferents","","Exert a diffuse, modulatory influence on the activity of cerebellar neurons","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Cerebellar Corticopontine Projection","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Cerebellar Afferents From The Lateral Reticular Nucleus","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Cerebellar Noradrenergic Afferents","","exert a diffuse, modulatory influence on the activity of cerebellar neurons.","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Pontine gray Mossy Fibers","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Reticular Mossy Fibers","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Spinal Mossy Fibers","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Trigeminal Mossy Fibers","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Vestibular Mossy Fibers","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Cerebellar Afferents From The Paramedian Reticular Nucleus","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Cerebellar Afferents From The Pontine Reticulotegmental Nucleus","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Regional Parts of the Hemisphere Lobules","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Hemispheric Lobule II","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Hemispheric Lobule III","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Hemispheric Lobule IV","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Hemispheric Lobule V","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Hemispheric Lobule VI","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Hemispheric Lobule VII","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Hemispheric Lobule VIIA","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Hemispheric Lobule VIIBi","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Hemispheric Lobule VIIBii","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Hemispheric Lobule VIII","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Hemispheric Lobule IX","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Hemispheric Lobule X","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Regional Parts of the Paravermal Lobules","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Paravermic Lobule II","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Paravermic Lobule III","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Paravermic Lobule IV","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Paravermic Lobule IX","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Paravermic Lobule V","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Paravermic Lobule VI","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Paravermic Lobule VII","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Paravermic Lobule VIII","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Regional Parts of the Vermal Lobules","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
